"","intrcpt","inveGFR","Age_LT65Yes","Baseline_T2DYes","Year1Yes","inveGFR:Age_LT65Yes","inveGFR:Year1Yes","Age_LT65Yes:Baseline_T2DYes","Age_LT65Yes:Year1Yes","Baseline_T2DYes:Year1Yes","inveGFR:Age_LT65Yes:Year1Yes","Age_LT65Yes:Baseline_T2DYes:Year1Yes"
"intrcpt",0.00719108468422288,-0.242472193574587,-0.00719108468422289,-0.000823707751649943,-0.00719108468422287,0.242472193574588,0.242472193574587,0.000823707751649943,0.00719108468422289,0.000823707751649943,-0.242472193574588,-0.000823707751649952
"inveGFR",-0.242472193574587,9.61130854528368,0.242472193574587,-0.00992303336204279,0.242472193574587,-9.61130854528369,-9.61130854528367,0.00992303336204281,-0.242472193574587,0.00992303336204279,9.61130854528368,-0.00992303336204253
"Age_LT65Yes",-0.00719108468422289,0.242472193574587,0.0538408378627757,0.00082370775164995,0.00719108468422287,-1.6720892074147,-0.242472193574587,-0.00896181324417547,-0.0538408378627756,-0.00082370775164995,1.6720892074147,0.00896181324417551
"Baseline_T2DYes",-0.000823707751649943,-0.00992303336204279,0.00082370775164995,0.00217191871054784,0.000823707751649944,0.00992303336204257,0.00992303336204275,-0.00217191871054784,-0.000823707751649954,-0.00217191871054784,-0.00992303336204244,0.00217191871054785
"Year1Yes",-0.00719108468422287,0.242472193574587,0.00719108468422287,0.000823707751649944,0.00986232313334267,-0.242472193574587,-0.326553175511422,-0.000823707751649941,-0.00986232313334268,-0.00130136378269058,0.326553175511422,0.00130136378269058
"inveGFR:Age_LT65Yes",0.242472193574588,-9.61130854528369,-1.6720892074147,0.00992303336204257,-0.242472193574587,61.9465341898846,9.61130854528367,0.00986480799243136,1.6720892074147,-0.0099230333620426,-61.9465341898845,-0.00986480799243213
"inveGFR:Year1Yes",0.242472193574587,-9.61130854528367,-0.242472193574587,0.00992303336204275,-0.326553175511422,9.61130854528367,12.723058351721,-0.00992303336204282,0.326553175511422,-0.00702425824089385,-12.723058351721,0.00702425824089367
"Age_LT65Yes:Baseline_T2DYes",0.000823707751649943,0.00992303336204281,-0.00896181324417547,-0.00217191871054784,-0.000823707751649941,0.00986480799243136,-0.00992303336204282,0.0152413528311466,0.00896181324417547,0.00217191871054784,-0.00986480799243112,-0.0152413528311466
"Age_LT65Yes:Year1Yes",0.00719108468422289,-0.242472193574587,-0.0538408378627756,-0.000823707751649954,-0.00986232313334268,1.6720892074147,0.326553175511422,0.00896181324417547,0.0724831864698682,0.00130136378269059,-2.22980137961081,-0.0125176441057141
"Baseline_T2DYes:Year1Yes",0.000823707751649943,0.00992303336204279,-0.00082370775164995,-0.00217191871054784,-0.00130136378269058,-0.0099230333620426,-0.00702425824089385,0.00217191871054784,0.00130136378269059,0.00294251669175629,0.00702425824089353,-0.00294251669175629
"inveGFR:Age_LT65Yes:Year1Yes",-0.242472193574588,9.61130854528368,1.6720892074147,-0.00992303336204244,0.326553175511422,-61.9465341898845,-12.723058351721,-0.00986480799243112,-2.22980137961081,0.00702425824089353,83.0595922158256,-0.00362722572090981
"Age_LT65Yes:Baseline_T2DYes:Year1Yes",-0.000823707751649952,-0.00992303336204253,0.00896181324417551,0.00217191871054785,0.00130136378269058,-0.00986480799243213,0.00702425824089367,-0.0152413528311466,-0.0125176441057141,-0.00294251669175629,-0.00362722572090981,0.0216172182255345
