"","intrcpt","inveGFR","Age_LT65Yes","Baseline_T2DYes","Year1Yes","inveGFR:Age_LT65Yes","inveGFR:Year1Yes","Age_LT65Yes:Baseline_T2DYes","Age_LT65Yes:Year1Yes","Baseline_T2DYes:Year1Yes","inveGFR:Age_LT65Yes:Year1Yes"
"intrcpt",0.0154205469156136,-0.538058445900688,-0.0152016880177397,-0.00158842139217013,-0.0153960002344658,0.557387101558331,0.538169244818608,0.000317219563045366,0.0150891594952792,0.00153545153442887,-0.559602642743469
"inveGFR",-0.538058445900688,21.7317820087411,0.540297348044334,-0.0162493738864952,0.538309555714249,-21.5340520146398,-21.7306485481542,0.00324512079064435,-0.541448502293055,0.0157074981428198,21.5113872751344
"Age_LT65Yes",-0.0152016880177397,0.540297348044334,0.106662721647843,0.00104069642286727,0.0150997464846522,-3.7070531039706,-0.540757492187209,-0.00131740207107777,-0.106195394516056,-0.000820714402770227,3.71625417126241
"Baseline_T2DYes",-0.00158842139217013,-0.0162493738864952,0.00104069642286727,0.00397524645658909,0.001526989893114,-0.0321232873559303,0.0159720841143814,-0.000793886276131068,-0.000759078073742977,-0.00384268198702836,0.0376679887110395
"Year1Yes",-0.0153960002344658,0.538309555714249,0.0150997464846522,0.001526989893114,0.0196935870997742,-0.564473384432475,-0.682618673187837,0.000193745760343982,-0.0192782385785913,-0.00207843171628195,0.711631542064413
"inveGFR:Age_LT65Yes",0.557387101558331,-21.5340520146398,-3.7070531039706,-0.0321232873559303,-0.564473384432475,143.132470892325,21.5020659196641,-0.0915768426459254,3.73953851154011,0.0474149430179545,-142.492875198606
"inveGFR:Year1Yes",0.538169244818608,-21.7306485481542,-0.540757492187209,0.0159720841143814,-0.682618673187837,21.5020659196641,27.443799464037,-0.000938723254240546,0.686247402672882,-0.0181584044889395,-27.190325941516
"Age_LT65Yes:Baseline_T2DYes",0.000317219563045366,0.00324512079064435,-0.00131740207107777,-0.000793886276131068,0.000193745760343982,-0.0915768426459254,-0.000938723254240546,0.00660326321268914,-0.00102499902678893,-0.000308737753882361,0.0454579921451073
"Age_LT65Yes:Year1Yes",0.0150891594952792,-0.541448502293055,-0.106195394516056,-0.000759078073742977,-0.0192782385785913,3.73953851154011,0.686247402672882,-0.00102499902678893,0.130466017060939,0.00107636841461688,-4.60089708764634
"Baseline_T2DYes:Year1Yes",0.00153545153442887,0.0157074981428198,-0.000820714402770227,-0.00384268198702836,-0.00207843171628195,0.0474149430179545,-0.0181584044889395,-0.000308737753882361,0.00107636841461688,0.00501439162939888,-0.0518375860937054
"inveGFR:Age_LT65Yes:Year1Yes",-0.559602642743469,21.5113872751344,3.71625417126241,0.0376679887110395,0.711631542064413,-142.492875198606,-27.190325941516,0.0454579921451073,-4.60089708764634,-0.0518375860937054,176.57877711039
