item,cost,year
c_g12_nodm,5631,2019
c_g3a_nodm,6011,2019
c_g12_dm,10783,2019
c_g12_nodm_cvd,14200,2019
c_g12_dm_cvd,17213,2019
c_g12_nodm_hf,19231,2019
c_g12_dm_hf,21594,2019
c_g3a_dm,10783,2019
c_g3a_nodm_cvd,14200,2019
c_g3a_dm_cvd,17213,2019
c_g3a_nodm_hf,19231,2019
c_g3a_dm_hf,21594,2019
c_g3b_nodm,7811,2019
c_g3b_dm,15075,2019
c_g3b_nodm_cvd,19388,2019
c_g3b_dm_cvd,22471,2019
c_g3b_nodm_hf,24296,2019
c_g3b_dm_hf,29234,2019
c_g4_nodm,11064,2019
c_g4_dm,27020,2019
c_g4_nodm_cvd,33198,2019
c_g4_dm_cvd,37903,2019
c_g4_nodm_hf,37929,2019
c_g4_dm_hf,44054,2019
c_g5_nodm,36722,2019
c_g5_dm,62853,2019
c_g5_nodm_cvd,67644,2019
c_g5_dm_cvd,72402,2019
c_g5_nodm_hf,72858,2019
c_g5_dm_hf,80480,2019
c_add_a3,4854,2006
c_mi_30d,31482,2012
c_str_30d,18835,2012
c_hf_30d,16950,2012
c_esrd_d_4m,87538,2020
c_esrd_t_4m,124271,2020
c_esrd_d_sub4m,49573,2020
c_esrd_t_sub4m,7079,2020
